case_id,cluster,duration_days,outcome,loan_goal,app_type,requested_amount
Application_1000086665,2,32.58559282407408,Cancelled,"Other, see explanation",New credit,5000.0
Application_1000158214,1,8.03303747685185,Pending,Home improvement,New credit,12500.0
Application_1000311556,2,30.586241759259263,Cancelled,Car,New credit,45000.0
Application_1000334415,0,13.629359155092594,Denied,"Other, see explanation",New credit,5000.0
Application_1000339879,1,12.843500474537038,Pending,Existing loan takeover,New credit,37500.0
Application_100034150,1,11.137504212962963,Pending,Existing loan takeover,New credit,5000.0
Application_1000386745,1,10.977406493055556,Pending,Car,New credit,5000.0
Application_1000474975,1,12.812195208333334,Pending,"Other, see explanation",New credit,50000.0
Application_1000557783,1,12.750729965277777,Pending,Home improvement,New credit,10000.0
Application_1000604502,2,33.407649293981486,Cancelled,"Other, see explanation",New credit,10000.0
Application_1000610355,0,27.010209108796293,Denied,Not speficied,New credit,10000.0
Application_1000647090,0,30.158244074074076,Denied,Existing loan takeover,New credit,6500.0
Application_1000671285,1,8.86251099537037,Pending,Car,New credit,5000.0
Application_1000691650,2,42.83841898148148,Cancelled,"Other, see explanation",New credit,50000.0
Application_1000806256,0,16.092393599537036,Denied,Existing loan takeover,New credit,0.0
Application_1000856802,1,17.584448564814814,Pending,Car,Limit raise,18000.0
Application_1000867366,1,8.597974108796295,Pending,Car,New credit,15000.0
Application_1000956993,1,33.894149594907404,Pending,Car,New credit,11500.0
Application_1001114274,1,28.918391979166664,Pending,Car,New credit,25000.0
Application_1001177986,1,28.419570138888886,Pending,Existing loan takeover,New credit,26000.0
Application_1001274919,1,8.292574872685186,Pending,Car,Limit raise,7500.0
Application_1001484676,1,20.034338263888888,Pending,Home improvement,Limit raise,20000.0
Application_1001624285,1,26.004940266203704,Pending,Existing loan takeover,Limit raise,20000.0
Application_1001854554,2,31.938854733796298,Cancelled,Car,New credit,27000.0
Application_1001858108,1,9.275705648148149,Pending,Unknown,Limit raise,0.0
Application_1001866944,1,35.81843706018518,Pending,Car,New credit,10000.0
Application_1002013470,0,21.846329918981482,Denied,Home improvement,New credit,17000.0
Application_1002032547,2,31.820647372685187,Cancelled,"Other, see explanation",New credit,10000.0
Application_1002051388,0,20.101322824074074,Denied,Home improvement,New credit,30000.0
Application_1002129113,1,44.508541099537034,Pending,Home improvement,New credit,30000.0
Application_1002324382,1,9.695340266203704,Pending,Home improvement,Limit raise,0.0
Application_1002348901,2,31.428532199074073,Cancelled,Car,New credit,15000.0
Application_100239804,1,8.063128599537038,Pending,Caravan / Camper,New credit,7500.0
Application_1002442935,2,35.39633320601852,Cancelled,Existing loan takeover,New credit,5000.0
Application_1002485344,1,95.37450077546296,Cancelled,Car,New credit,16000.0
Application_1002567868,0,6.72015681712963,Denied,Car,New credit,6000.0
Application_1002602375,1,17.828507997685186,Pending,Home improvement,New credit,6000.0
Application_1002626536,1,17.614716157407408,Pending,Existing loan takeover,New credit,17500.0
Application_1002664914,2,30.675535405092592,Cancelled,Unknown,New credit,0.0
Application_1002747267,0,7.245097939814816,Denied,Home improvement,New credit,15000.0
Application_1002843616,1,17.05504818287037,Pending,Unknown,New credit,0.0
Application_1002961837,1,42.05304943287037,Pending,Existing loan takeover,New credit,9000.0
Application_1002996676,2,33.70350724537037,Cancelled,Home improvement,New credit,7750.0
Application_100305707,1,13.854977349537037,Pending,Existing loan takeover,New credit,48000.0
Application_1003092772,0,11.933358252314815,Denied,Car,New credit,11000.0
Application_1003146166,2,30.794527233796295,Cancelled,Car,New credit,30000.0
